name,nationality,sport
Martijn Zuijdweg,Netherlands,Dutch swimmer
Matt Welsh,Australia,Australian swimmer
Matteo Zennaro,Italy,Fencer
Nathan Twaddle,,Rower
Nazmi Avluca,Turkey,Olympic wrestler
Neil Walker (swimmer),United States,American swimmer Olympic gold medalist former world record-holder
Neisser Bent,Cuba,Swimmer
Nicola Sartori,,Rower
Nuno Delgado,,Judoka
Hrysopiyi Devetzi,Greece,Greek triple jumper
Huang Chih-hsiung,Taiwan,Taekwondo practitioner
Chen Lu,China,Figure skater
Christoph Sauser,Switzerland,Swiss racing cyclist
Samuel Kuffour,Ghana,Ghanaian footballer
Adam Commens,,Field hockey player
Aidyn Smagulov,,Judoka
Cecilia Rognoni,Argentina,Field hockey player
Jolanda Čeplak,,Athletics (sport) competitor
Kati Wilhelm,Germany,German cross-country skier and biathlete
Kelly Sotherton,Britain,Athletics (sport) competitor
Kenji Inoue,,Olympic wrestler
Kenji Johjima,Japan,Baseball player (catcher first baseman)
Éric Bédard,Quebec,Canadian short-track speed skater
Šarūnas Jasikevičius,Lithuania,Lithuanian professional basketball player
Ioan Silviu Suciu,,Gymnast
Irina Kalentieva,Russia,Russian racing cyclist
Isao Yoneda,Germany,Japanese gymnast
Jacinthe Taillon,Canada,Olympic synchronized swimmer
Eng Hian,,Badminton player
Therese Alshammar,Sweden,Swimmer
Thibaud Chapelle,France,Olympic rower
Thomas Rupprath,Germany,Swimmer
Tim Brabants,Britain,Canoe racer
Tina Wunderlich,Germany,German footballer
Tobias Angerer,,Cross-country skier
Luciana Aymar,Argentina,Field hockey player
Lukáš Bauer,Czechoslovakia,Cross-country skier
Xiao Hailiang,,chinese sport diver
Yang Yang (S),China,Short track speed skater
Yelena Krivoshey,,Gymnast
Yelena Mikulich,Belarus,Rower
Yevgeni Podgorny,,Gymnast
Yuliya Pakhalina,Russia,Diver
Yuliya Viktorovna Ivanova,Russia,Gymnast
Yuya Ando,Japan,Baseball player
Freddy Mayola,Cuba,Cuban sprint athlete
Galina Likhachova,,Speed skater
Ganna Burmystrova,,Handball player
Patric Leitner,,Luger
Pavel Kubina,Czechoslovakia,Ice hockey player
Derrick Brew,,Athletics (sport) competitor
Djabir Saïd-Guerni,,Athletics (sport) competitor
Dmitri Dashinski,Belarus,Freestyle skier
Dominique Bosshart,,Taekwondo practitioner
Dorel Simion,,Boxer
Rod White,United States,Archer
Rodrigo Núñez,Chile,Chilean footballer
Roman Balashov,,Water polo player
Rui Silva,Portugal,Portuguese middle and long-distance runner
Mette Schjoldager,Denmark,Badminton player
Mia Hundvin,Norway,Norwegian handball player
Michael Klim,Australia,Swimmer
Michal Riszdorfer,,Canoe racer
Michelle Burgher,,Athletics (sport) competitor
Mihai Covaliu,,Fencer
Minke Booij,,Field hockey player
Tomislav Smoljanović,Croatia,Croatian rower
Tommy Ingebrigtsen,Norway,Norwegian ski jumper
Toni Lydman,Finland,Ice hockey player
Tonya Verbeek,Canada,Olympic wrestler
Troy Elder,,Field hockey player
Tuula Puputti,,Ice hockey player
Shannon Miller,United States,American gymnast
Sharon Hunt,United Kingdom,Equestrian
Sofia Bekatorou,Greece,Greek yacht racer
Stephen Parry (swimmer),United Kingdom,English swimmer
Stephon Marbury,United States,Basketball player
Kirsten Klose,Germany,German hammer thrower
Konstantin Dubrovin,Soviet Union,Swimmer
Kosuke Fukudome,Japan,Japanese baseball player
Krisztián Veréb,,Canoe racer
Manu Ginóbili,Argentina,Argentine basketball player
María de la Paz Hernández,Argentina,Field hockey player
Marcel Hacker,,Rower
Mariana Limbău,,Canoe racer
Mario Stecher,Austria,Austrian Nordic combined skier
Javier di Gregorio,Argentina,Argentine footballer
Juanín García,Spain,Juanín is a Spanish handball player who's defending the club colours of F.C. Barcelona Borges.
Juraj Bača,,Canoe racer
Juraj Minčík,,Canoe racer
Atsushi Fujimoto,,Baseball player
Aydın Polatçı,,Olympic wrestler
Becky Hammon,United States,Basketball player
Annabel Kosten,Netherlands,Swimmer
Anni Friesinger-Postma,Germany,German speed skater
Antonio Scaduto,,Canoe racer
Arianna Follis,Italy,Italian cross-country skier and ski mountaineer
Ariel Ze'evi,Israel,Israeli judoka
Olena Yatsenko,Ukraine,Ukrainian handball player
Olga Shtyrenko,Russia,Gymnast
Oxana Rayhel,,Handball player
Pablo Prigioni,Argentina,Professional basketball player
Rainer Schönfelder,Austria,Austrian Alpine skier
Reinhard Schwarzenberger,,Ski jumper
Philipp Crone,,Olympic medalist
Alanna Kraus,Canada,Canadian short track speed skater
Alejandra Gulla,,Field hockey player
Aleksandar Ćirić,Serbia,Water polo player
Aleksandr Kosarev,,Volleyball player
Alexander Beresch,,Gymnast
Rita König,Romania,Fencer
Robin Bell,South Africa,Canoe racer
Stuart Welch,,Rower
Sylviane Félix,France,French athlete
Tamara Crow,,Olympic synchronized swimmer
Tamerlan Tmenov,Soviet Union,Judoka
Tasha Danvers,United Kingdom,Athletics (sport) competitor
Evgenia Radanova,Bulgaria,Short track speed skater
David Henríquez,Chile,Chilean footballer
Davide Rummolo,Italy,Swimmer
Gina Gogean,Romania,Gymnast
Mitică Pricop,,Canoe racer
Nataliya Lavrinenko,,Rower
Bevan Docherty,New Zealand,Triathlete
Bevan George,,Field hockey player
Birgit Prinz,Germany,Association football player
Bode Miller,United States,Alpine skier
Buffy-Lynne Williams,,Rower
Varvara Barysheva,,Speed skater
Vincent Defrasne,France,French biathlete
Violetta Oblinger-Peters,Germany,Austrian slalom canoer
Vitalie Gruşac,Moldova,Moldovan boxer
Jennifer Isacco,Italy,Italian bobsledder
Jiří Magál,Czech Republic,Czech cross-country skier
Joachim Olsen,,Athletics (sport) competitor and politician
Ambrosi Hoffmann,Switzerland,Swiss alpine skier
Anders Södergren,Sweden,Cross-country skier
Andrea Henkel,Germany,German biathlete
Andreas Helgstrand,,Equestrian
Andrija Gerić,Serbia,Volleyball player
Leire Olaberria,Spain,Olympic cyclist
Leszek Blanik,Poland,Gymnast
Liam Parsons,Canada,Rower
Liana Mesa,,Volleyball player
Lilia Vaygina-Efremova,Ukraine,Ukrainian biathlete
Fiona Crawford,,Softball player
Floyd Mayweather Jr.,United States,American Olympic and professional boxer
Mathieu Turcotte,Canada,Canadian short-track speed skater
Maybelis Martínez,Cuba,Volleyball player
Nienke Hommes,Netherlands,Rower
Nils Olav Fjeldheim,,Canoe racer
Nina Zhivanevskaya,United States,Swimmer
Hirotoshi Ishii,Japan,Baseball player
Hu Binyuan,,Sport shooter
Igor Francetić,,Rower
Ilse Heylen,,judoka
Inés Arrondo,,Field hockey player
Chris le Bihan,Canada,Canadian bobsledder
Christoph Bieler,Austria,Austrian Nordic combined skier
Christoph Eimer,,Olympic medalist
Claire Carver-Dias,,Synchronized swimmer
Sami Mustonen,,Freestyle skier
Sandra Smisek,Germany,Association footballer
Abderrahmane Hammad,Algeria,Algerian Olympic high jumper
Adam Małysz,Poland,Polish ski jumper
Aki Berg,Finland,Ice hockey player
Cathleen Rund,Germany,German swimmer
Chad Hedrick,United States,American inline speed skater and ice speed skater
Chantelle Newbery,,Diver
Dana Faletic,United States,Rower
Katrin Wagner-Augustin,Germany,Canoe racer
Kazue Ito (softball),,Olympic softball player
Kerri Strug,United States,American gymnast
Kerry Wyborn,Australia,Australian softball player
Kerstin Stegemann,,Association football player
Khasanbi Taov,Russia,Judoka
Kim Jong-su,,Sport shooter
Inka Grings,Germany,Association football player
Jörg Fiedler,Germany,Fencer
Elisângela Oliveira,Brazil,Olympic volleyball player from Brazil
Elisabeth Willeboordse,,Judoka
Else-Marthe Sørlie Lybekk,Norway,Handball player
Emiliano Brembilla,Italy,Swimmer
Emma Knox,,Water polo player
Tetyana Shynkarenko,,Handball player
Thomas Lamparter,,Bobsledder
Toby Dawson,South Korea,Freestyle skier
Tomáš Kaberle,Czechoslovakia,Ice hockey player
Lyne Beaumont,,Synchronized swimmer
Mārtiņš Rubenis,Latvia,Luger
Mahé Drysdale,,Rower
György Kozmann,,Canoe racer
Hamide Bıkçın Tosun,Turkey,Taekwondo practitioner
Hannu Manninen,Finland,Finnish Nordic combined skier
Yumilka Ruíz,Cuba,Cuban volleyball player
Zhou Chunxiu,China,Chinese marathon runner and Olympic medallist
Franziska van Almsick,Germany,Swimmer
Georg Hettich,Germany,German Nordic combined skier
Pavel Bashkin,Russia,Russian handball player
Pavel Datsyuk,Soviet Union,Ice hockey player
Pavol Hurajt,Czechoslovakia,Slovakian biathlete
Denys Yurchenko,Ukraine,Ukrainian pole vaulter
Román González,Argentina,Argentine-Italian professional basketball player
Rubén Garabaya,Spain,Handball player
Rustam Saidov,Uzbekistan,Boxer
Mike Bryan,United States,NULL
Mike Hessman,United States,Baseball player
Miki Nakao,Japan,Olympic swimmer
Vala Flosadóttir,,Athletics (sport) competitor
Sebastián González,Chile,Chilean footballer
Sergei Samsonov,Soviet Union,Russian professional ice hockey forward
Shan Ying,,Olympic medalist in swimming
Shawn Marion,United States,American basketball player
Shen Xue,China,Chinese pair skater
Slobodan Soro,Serbia,Water polo player
Sonja Fuss,Germany,Association football player
Sri Indriyani,,Weightlifter
Stefan Nimke,Germany,German racing cyclist
Stefanie Gottschlich,,Association footballer
Stephen Stewart,Canada,Rower
Stev Theloke,Germany,Swimmer
Steven López,,Taekwondo practitioner
Hasna Benhassi,,Athletics (sport) competitor
Heather Petri,,Water polo player
Helen Tanger,,Rower
Kyoko Hamaguchi,,Olympic wrestler
Lars Bystøl,Norway,Norwegian ski jumper
Maria Kalmykova,,Basketball player
Marian Dumitru,,Handball player
Marianne Rokne,,Handball player
Jan Bulis,Czechoslovakia,Ice hockey player
Eduard Tyukin,,Weightlifter
Edvaldo Valério,Brazil,Swimmer
Johanna Sjöberg,Sweden,Swimmer
John Gall (baseball),,Baseball player
Beat Hefti,Switzerland,Swiss bobsledder
Aneta Konieczna,Poland,Polish canoeist
Annemarie Forder,,Sport shooter
Antje Buschschulte,Germany,Swimmer
Antti Kuisma,Finland,Finnish Nordic combined skier
Arnaud Tournant,France,French racing cyclist
Oleg Kvasha,Soviet Union,Russian ice hockey player
Oleksandr Serdyuk,,Archer
Olli Jokinen,Finland,Ice hockey player
Otar Tushishvili,,Olympic wrestler
Pablo Contreras,Chile,Chilean footballer
Rafael Olarra,Chile,Chilean footballer
Ramūnas Šiškauskas,Lithuania,Lithuanian professional basketball player
Raquel Silva,,Volleyball player
Rebecca Rippon,,Water polo player
Reidun Tatham,,Olympic synchronized swimmer
Reinaldo Navia,Chile,Chilean footballer
René Wolff,Germany,German racing cyclist
Petra Dallmann,,Swimmer
Pieter van den Hoogenband,Netherlands,Dutch swimmer
Qin Dongya,,Judoka
Aleš Kotalík,Czechoslovakia,Czech ice hockey player
Aleksandar Šapić,Serbia,Water polo player
Aleksey Dyachenko,Russia,Russian fencer
Alessandro Fei (volleyball),Italy,Volleyball player
Alexander Weber,Germany,Fencer
Alexei Bondarenko,,Gymnast
Alexey Rastvortsev,Russia,Handball player
Alexis Rodríguez,,Olympic wrestler
Riitta-Liisa Roponen,,Cross-country skier
Stuart Reside,Australia,Rower
Takashi Yamamoto (swimmer),Japan,Japanese swimmer
Danil Burkenya,,Athletics (sport) competitor
Darius Songaila,Lithuania,Professional basketball player
Georgina Harland,United States,British modern pentathlete
Nadine Angerer,Germany,German association football player
Natallia Helakh,,Rower
Nate Dusing,United States,American swimmer Olympic silver medalist
Benjamin Raich,Austria,Austrian alpine skier
Birgitte Sættem,,Handball player
Blaine Neal,,Baseball player
Bob Bryan,United States,NULL
Britta Oppelt,,Rower
Bruno Julie,Mauritius,first Olympic medalist for Mauritius
Vendela Zachrisson,,Olympic sailor
Vladimer Chanturia,,Boxer
Vyacheslav Pozdnyakov,Russia,Russian fencer
Wandee Kameaim,,Weightlifter
Wang Chunlu,,Short track speed skater
Wang Liqin,China,Table tennis player
Jens Boden,,Speed skater
Jessica Chase,,Synchronized swimmer
Ali Ezzine,,Athletics (sport) competitor
Amy Chow,Mali,Gymnast
An Yulong,,Short-track speed skater
Andrea Facchin,,Canoe racer
Andrew Smith (field hockey),Australia,Australian field hockey player
Andrey Egorchev,,Volleyball player
Leonardo Gutiérrez,Argentina,Argentine professional basketball player
Fatima Moreira de Melo,United States,Field hockey player
Feng Kai,,Short track speed skater
Feng Kun,China,Volleyball player
Ferréol Cannard,France,French biathlete
Martin Koukal,,Cross-country skier
Maryna Vergelyuk,,Handball player
Massimiliano Rosolino,Italy,Swimmer
Matt Schnobrich,,Olympic medalists in rowing
Matteo Bisiani,,Archer
Matthew Wells,Australia,Australian field hockey player
Mauricio Rojas Toro,Chile,Chilean footballer
Mehdi Baala,France,French athlete
Mehmet Özal,,Olympic wrestler
Nicolas Bal,France,French Nordic combined skier
Nikša Skelin,,Rower
Niklas Bäckström,Finland,Ice hockey player
Niko Kapanen,Finland,Finnish ice hockey player
Nikolai Kryukov,,Gymnast
Hiroko Sakai,,Softball player
Chris Draper,United Kingdom,Sailor
Clarence Vinson,,Boxer
Clemens Arnold,,Field hockey player
Sandy Lewis (softball),,Softball player
Adriana Moisés Pinto,,Basketball player
Catherine Garceau,Montreal,Synchronized swimmer
Chantal Meek,,Canoe racer
Wietse van Alten,,Archer
Conny Pohlers,Germany,Association footballer
Cristina Teuscher,United States,American swimmer Olympic gold medalist
José Ángel César,Cuba,Athletics (sport) competitor
José Luis Abajo,Spain,Fencer
Karen Putzer,Alps,Alpine skier
Karoliina Rantamäki,Finland,Ice hockey player
Kie Kusakabe,,Judoka
Irina Slutskaya,Soviet Union,Figure skater
Ivan Ljubičić,Yugoslavia,Croatian tennis player
Jérôme Thomas,,Boxer
Emi Naito,,Olympic softball player
Erika Holst,Sweden,Swedish ice hockey player
Erin Chan,,Synchronized swimmer
Terry Tiffee,,Baseball player
Thomas Lurz,Germany,Swimmer
Tian Liang (diver),,Diver
Tim Wieskötter,,Canoe racer
Ludovic Roux,France,French Nordic combined skier
Luke Doerner,Australia,An Australian professional field hockey player
Mai Nakamura,Japan,Swimmer
Wiradech Kothny,Thailand,Fencer
Wyatt Allen,,Rower
Xia Xuanze,China,Chinese badminton player
Yuan Ye (speed skater),,Short track speed skater
Yuliya Petrova,Russia,Water polo player
Yumi Iwabuchi,Japan,Softball player
Yurisel Laborde,Cuba,Cuban judoka
Zhou Suhong,China,Chinese volleyball player
Froukje Wegman,Netherlands,Rower
Gabe Woodward,United States,American swimmer Olympic bronze medalist
Gao Ling,China,Badminton player
Garrett Lowney,United States,Olympic wrestler
Geoff Huegill,Australia,Swimmer
Patricio Ormazábal,Chile,Chilean footballer
Peter Žonta,Slovenia,Slovenian ski jumper
Diego Confalonieri,Italy,Italian fencer
Ditte Kotzian,,Diver
Rodrigo Tello,Chile,Chilean footballer
Ruben Houkes,,Judoka
Rusty Smith,,Short track speed skater
Michael Gruber (skier),Austria,Austrian Nordic combined skier
Michael Jurack,Germany,Judoka
Michael Toon,,Rower
Mindaugas Mizgaitis,,Olympic wrestler
Minke Smeets,Netherlands,Dutch field hockey player
Vadzim Makhneu,,Canoe racer
Sebastian Köber,Germany,Boxer
Silvijo Petriško,,Rower
Simon Strübin,Switzerland,Curler
Simona Amânar,Romania,Romanian gymnast
Simone Hauswald,Germany,German biathlete
Solenne Figuès,France,French swimmer
Stefano Carozzo,Italy,Italian fencer
Stephen Lambert (field hockey),,Field hockey player
Steven Barnett (diver),,Diver
Kristin King,United States,American ice hockey player
Lamar Odom,United States,American basketball player
Laurence Rochat,,Cross-country skier
Mara Zini,Italy,Italian speed skater
Margherita Granbassi,Italy,Fencer
Maria Rooth,Sweden,Ice hockey player
Maria Stepanova,Soviet Union,Basketball player
Mariana Rossi,,Field hockey player
Marleen Veldhuis,Netherlands,Swimmer
Jaroslav Volf,,Canoe racer
Joey Cheek,United States,Olympic skater
Julia Greville,Australia,Swimmer
Kamil Djamaloudinov,,Boxer
Ashley Callus,Australia,Australian swimmer
Angelina Yushkova,Russia,Russian rhythmic gymnast
Annemiek de Haan,,Rower
Ariane Hingst,Germany,Association football player
Arnaud Di Pasquale,Morocco,Tennis player
Ondřej Štěpánek,,Canoe racer
Osleidys Menéndez,Cuba,Athletics (sport) competitor
Paolo Quinteros,Argentina,Argentine-Italian professional basketball player
Rebecca Gilmore,,Diver
Petra Majdič,Slovenia,Cross-country skier
Primož Peterka,Yugoslavia,Slovenian ski jumper
Aleksei Grishin,,Freestyle skier
Aleksey Kuleshov,,Volleyball player
Alexander Resch,,Luger
Alexei Markov,Russia,Racing cyclist
Robert Newbery,,Diver
Robin Beauregard,,Water polo player
Robin Szolkowy,Germany,German pair skater
Sumika Minamoto,Japan,Swimmer
Svetlana Khorkina,Soviet Union,Gymnast
Daniel Walsh (rower),United States,Olympic medalist in rowing
David Bissett (bobsleigh),Canada,Canadian bobsledder
David Pizarro,Chile,Professional footballer
Giorgi Gogshelidze,,Olympic wrestler
Giuseppe Gibilisco,Italy,Italian pole vaulter
Gloria Kemasuode,Nigeria,Nigerian sprinter
Muriel Hurtis-Houairi,,Athletics (sport) competitor
Natalya Nazarova,United States,Russian sprinter
Björn Goldschmidt,Germany,Canoe racer
Varteres Samurgashev,Russia,Olympic wrestler
Virginie Arnold,,Archer
Virginie Dedieu,,Olympic synchronized swimmer
Walewska Oliveira,Brazil,Olympic volleyball player of Brazil
Jenny Schmidgall-Potter,United States,Ice hockey player
Jens Filbrich,,Cross-country skier
Joa Elfsberg,Sweden,Swedish ice hockey player
Alyona Sidko,,Cross-country skier
Andrés Nocioni,Argentina,Professional basketball player
Andrea Pirlo,Italy,Footballer
Liu Xuan (gymnast),China,Gymnast
Loudy Wiggins,Israel,Diver
Fanny Létourneau,,Synchronized swimmer
Martina Beck,Germany,German biathlete
Masami Tanaka,Japan,Swimmer
Mathieu Turgeon,Canada,Gymnast
Matteo Ferrari,Algeria,Italian footballer
Matteo Pelliciari,,Swimmer
Maxim Afinogenov,Soviet Union,Ice hockey player
Maxim Opalev,,Canoe racer
Meike Freitag,,Swimmer
Nikita Cuffe,,Water polo player
Niklas Hagman,Finland,Finnish ice hockey player
Ilaria Salvatori,Italy,Italian fencer
Christian Gille,Germany,Olympic Canoe racer
Christina Liebherr,Switzerland,Equestrian
Cindy Klassen,Canada,Canadian speed skater; Olympian
Said Saif Asaad,,Weightlifter
Sandrine Bailly,France,French biathlete
Aaron Egbele,Nigeria,Nigerian sprinter
Aino-Kaisa Saarinen,Finland,Cross-country skier
Catello Amarante,,Rower
Courtney Kennedy,United States,American ice hockey player
Dan Nicolae Potra,,Gymnast
Jon Belaustegui,,Handball player
Kathleen Kauth,United States,American ice hockey player
Kelly Santos,,Basketball player
Kerstin Garefrekes,Germany,Association football player
Kim Rhode,,Sport shooter
Kim Un-chol,,Boxer
Kip Carpenter,United States,Speed skater
Irina Dzyuba,,Gymnast
Ivan Pelizzoli,Italy,Italian footballer
Ivan Tcherezov,Russia,Russian biathlete
Jacqueline Frank DeLuca,,Water polo player
Elisa Rigaudo,Italy,Italian racewalker
Emma Johnson (swimmer),Australia,Swimmer
Erin Pac,United States,American bobsledder
Timothy Goebel,,Figure skater
Luca Agamennoni,,Rower
Luis Scola,Argentina,Professional basketball player
Lyndon Rush,Canada,Canadian bobsledder
Grant Hackett,Australia,Olympic swimmer
Grant Schubert,,Field hockey player
Gu Beibei,,Synchronized swimmer
Xue Haifeng,China,Chinese archer
Yang Hao (volleyball),China,Chinese volleyball player
Yang Tae-Young,,South Korean gymnast
Yaroslav Rybakov,Soviet Union,Athletics (sport) competitor
Yelena Produnova,,Gymnast
Yevgeniya Bochkaryova,,Gymnast
Yordanis Arencibia,Cuba,Cuban judoka
Yuki Sato (softball),Japan,Olympic softball player
Zhang Na (volleyball),China,Chinese volleyball player
Zhang Xiaohuan,China,Chinese Synchronised swimmer
Denis Nizhegorodov,,Athletics (sport) competitor
Dennis Bauer,Germany,Fencer
Dmitri Nossov,Soviet Union,Judoka
Dominique Maltais,Quebec,Snowboarder
Ronaldinho,Brazil,Footballer
Ronetta Smith,,Athletics (sport) competitor
Michelle Kwan,,Figure skater
Mickaël Bourgain,France,French racing cyclist
Mikhail Chipurin,,Handball player
Travis Brooks,Australia,Australian field hockey player
Sergei Baranov (volleyball),,Volleyball player
Serik Yeleuov,Kazakhstan,Kazakhstani boxer
Shahin Imranov,Azerbaijan,Boxer
Shannon Bahrke,United States,Freestyle skier
Shingo Suetsugu,Japan,Japanese sprinter
Sofia Konukh,,Water polo player
Stéphanie Possamaï,,Judoka
Stefan Pfannmöller,Germany,Canoe racer
Helen Reeves (kayaker),United Kingdom,Canoe racer
Henri Häkkinen,,Sport shooter
Lauren McFall,,Synchronized swimmer
Marian Drăgulescu,Romania,Gymnast
Marid Mutalimov,Russia,Olympic wrestler
Mariné Russo,,Field hockey player
Marit Bjørgen,Norway,Cross-country skier
Mark Tuitert,Netherlands,Speed skater
Marta Capurso,,Short-track speed skater
Edith Bosch,,Judoka
Eglis Yaima Cruz,,Sport shooter
Eike Duckwitz,,Olympic medalist
Elena Karpova,,Basketball player
Johan Kenkhuis,,Swimmer
Johan Olsson (skier),Sweden,Swedish cross-country skier
Josh Inman,,Olympic medalist in rowing
Justin Norris,,Swimmer
Justus Scharowsky,,Field hockey player
Karen Cockburn,United States,Gymnast
Beau Hoopman,United States,Olympic medalist in rowing
Angela Ruggiero,United States,Ice hockey player
Anna-Karin Kammerling,Sweden,Swimmer
Anne Poleska,Germany,Swimmer
Annemarieke van Rumpt,,Rower
Annett Böhm,Germany,Judoka
Anniara Muñoz,,Volleyball player
Antero Niittymäki,Finland,Finnish ice hockey goaltender
Antti Miettinen,Finland,Finnish ice hockey player
Aree Wiratthaworn,,Weightlifter
Olesya Zykina,Russia,Russian athlete
Raj Bhavsar,United States,Gymnast
Raman Piatrushenka,,Canoe racer
Rasmus Quist Hansen,,Rower
Rebecca Sattin,Solomon Islands,Rower
Răzvan Florea,Romania,Swimmer
Aleksandr Korneev,,Volleyball player
Alexey Voyevoda,Ukraine,Bobsledder
Richard Jefferson,United States,Basketball player
Rie Sato,,Softball player
Roberto Cammarelle,Italy,Boxer
Suriya Prasathinphimai,Thailand,Boxer
Svetlana Abrosimova,Soviet Union,Basketball player
Svetlana Feofanova,Soviet Union,Russian pole vaulter
Tahar Tamsamani,,Boxer
Takehiro Kashima,,Gymnast
Taras Danko,,Olympic wrestler
Georgy Balakshin,Russia,Boxer
Morad Mohammadi,,Olympic wrestler
Murad Gaidarov,,Olympic wrestler
Musa Audu,,Athletics (sport) competitor
Nadia Davy,,Athletics (sport) competitor
Nataliya Tobias,,Athletics (sport) competitor
Belinda Wright (softball),,Softball player
Benoît Caranobe,France,Gymnast
Bradley Wiggins,,Professional cyclist
Brenda Villa,United States,Water polo player
Cai Huijue,,Olympic swimmer
Vasily Vasilyevich Rochev,,Cross-country skier
Vladislav Frolov,,Athletics (sport) competitor
Allison Baver,United States,Short-track speed skater
Amber Bradley,Australia,Olympic medalist in rowing
Andriy Fedchuk,Ukraine,Boxer
Lee Kyung-won,,female badminton player from South Korea
Lisa Oldenhof,,Canoe racer
Liu Yanan,China,Volleyball player
Federico Cappellazzo,,Swimmer
Federico Kammerichs,Argentina,Argentine-German professional basketball player
Fernanda Oliveira,,Sailor
Fernando González,Chile,Tennis player
François-Louis Tremblay,Canada,Short track speed skater
Martina Müller (footballer),Germany,Association football player
Mathew Helm,,Diver
Mats Larsson,,Cross-country skier
Nick Dempsey,United Kingdom,Sailor
Iker Romero,Spain,Handball player
Ilona Korstin,Soviet Union,Russian basketball player
Ilya Bryzgalov,Soviet Union,Ice hockey player
Claudia Burkart,,Field hockey player
Claudio Maldonado,Chile,Chilean footballer
Sandra Laoura,,Freestyle skier
Sanjay Ayre,Jamaica,Athletics (sport) competitor
Sarah Daninthe,Guadeloupe,Fencer
Sazhid Sazhidov,,Olympic wrestler
Aghasi Mammadov,Azerbaijan,Boxer
Carlos Jayme,Brazil,All-American swimmer Brazilian international swimmer Olympic bronze medalist
Carlos Prieto (handballer),Spain,Spanish handball player
Chanda Gunn,United States,American ice hockey player
Craig Victory,,Field hockey player
Daisuke Matsuzaka,Japan,Baseball player
Josefin Lillhage,Sweden,Swimmer
Katarzyna Bachleda-Curuś,Poland,Polish speed skater
Kim Insalaco,United States,Ice hockey player
Elizabeth Chase,,Field hockey player
Ellie Daniel,United States,American swimmer Olympic gold medalist former world record-holder
Tetsuo Nishimoto,,Volleyball player
Luděk Macela,Czechoslovakia,Footballer
Mac Wilkins,,Athletics (sport) competitor
Grzegorz Lato,Poland,Polish footballer
Guy Drut,France,Athletics (sport) competitor and politician
Wolfgang Brinkmann,,Equestrian
Yevgeny Kulikov,,Speed skater
Yordan Bikov,,Weightlifter
Yuliya Safina,Soviet Union,Handball player
Yuri Salnikov,Soviet Union,Equestrian
Zdenko Zorko,Yugoslavia,Yugoslav handball player
Zdravka Yordanova,Bulgaria,Bulgarian rower
Zdravko Miljak,,Handball player
Zinaida Amosova,,Cross-country skier
Galina Kreft,Soviet Union,Canoe racer
Gary Robertson (rower),,Rower
Gennadi Karponosov,United States,Figure skater
Pertti Ukkola,,Olympic wrestler
Dietmar Lorenz,,Judoka
Roland Matthes,,Swimmer
Rosi Mittermaier,Germany,Alpine skier
Ryszard Bosek,Poland,Volleyball player
Miloslava Rezková,,Athletics (sport) competitor
Shamil Khisamutdinov,Soviet Union,Russian wrestler
Shota Chochishvili,Soviet Union,Judoka
Shun Fujimoto,,Gymnast
Siegbert Horn,,Canoe racer
Siegfried Voigt,,Handball player
Harald Hein,Germany,German fencer
Hasely Crawford,Trinidad And Tobago,Trinidadian sprinter
Knut Knudsen,Norway,Norwegian racing cyclist
Marek Karbarz,Poland,Volleyball player
Maricica Puică,,Athletics (sport) competitor
Mark Spitz,United States,American swimmer Olympic gold medalist
Angelika Noack,,Rower
Annegret Richter,Germany,German athlete
Annelie Ehrhardt,Germany,German hurdler
Renate Stecher,Germany,German sprinter
Alberto Juantorena,Cuba,Cuban track athlete
Aleksandr Klepikov,United States,Rower
Aleksandr Sidelnikov,Russia,Russian ice hockey player
Sultan Rakhmanov,Russia,Weightlifter
Svetla Otsetova,,Rower
Tadeusz Ślusarski,Poland,Polish pole vaulter
Takao Kawaguchi,,Judoka
Tatyana Averina,,Speed skater
Tatyana Ovechkina,United States,Basketball player
Dave Wottle,United States,American middle distance runner
David Edgar (swimmer),United States,American swimmer Olympic gold medalist former world record-holder
Georgi Kostadinov,,Boxer
Mykhaylo Ishchenko,Soviet Union,Handball player
Vasudevan Baskaran,India,Field hockey player
Viktor Rashchupkin,,Athletics (sport) competitor
Vladimir Kondra,Russia,Volleyball player
Volker Fischer,Germany,German fencer
Waldemar Cierpinski,,Athletics (sport) competitor
Jerry Heidenreich,United States,American swimmer Olympic gold medalist former world record-holder
Libor Radimec,Czechoslovakia,footballer
Lothar Doering,,Handball player
Lothar Kurbjuweit,Germany,German footballer and manager
Fedir Lashchonov,Russia,Volleyball player
Francisco Fernández Ochoa,Spain,Alpine skier
Frank Hübner,,Sailor
Nikolay Kruglov,Russia,Russian biathlete
Christiane Krause,Germany,German sprinter
Wiesław Gawłowski,Poland,Volleyball player
Karen Stives,United States,Equestrian
Irina Müller,,Rower
Ismail Abilov,,Wrestler
Ivar Formo,,Cross-country skier
Jörg Diesch,,Sailor
Jörg Landvoigt,Germany,Rower
Gottfried Döhn,,Rower
Gunnar Larsson (swimmer),Sweden,Swimmer
Héctor Rodríguez (judoka),,Judoka
Hans-Georg Aschenbach,,Ski jumper
Hans-Georg Jaunich,,Handball player
Hans-Jürgen Dörner,Germany,German football player and coach
Wolfgang Güldenpfennig,Germany,Rower
Yuri Kovshov,Soviet Union,Equestrian
Yury Zaitsev,Soviet Union,Russian weightlifter
Zdeněk Rygel,Czechoslovakia,footballer
