Name,Nationality,Sport
Bedřich Ščerban,,Ice Hockey
Anfisa Reztsova,,Cross-country skier
Anna Seaton,United States,Olympic medalist in rowing
Anthony Mosse,New Zealand,Swimmer
Armin Eichholz,,Rower
Arnaldo da Silva,,Athletics (sport) competitor
Olena Pakholchyk,,Sailor
Olha Semenova,Soviet Union,Handball
Pál Szekeres,Hungary,Hungarian fencer
Rafael Vidal,Venezuela,All-American college swimmer Venezuelan international swimmer Olympic bronze medalist
Raimo Helminen,Finland,Ice Hockey
Rainer Henkel,Germany,Swimmer
Reggie de Jong,Netherlands,Swimmer
Richard Žemlička,Czech Republic,Ice Hockey
Peter Veselovský,,Ice Hockey
Petr Bříza,Czechoslovakia,Ice Hockey
Petr Rosol,,Ice Hockey
Philippe Gardent (handballer),United States,Handball
Róbert Gátai,Hungary,Fencer
Aleksandar Šoštar,,Water polo player
Aleksandr Miroshnichenko,,Boxer
Aleksandr Tuchkin,,Handball
Robson da Silva,Brazil,Brazilian Olympic sprinter
Robyn Grey-Gardner,,Rower Rower
Su Huijuan,,Volleyball
Svetlana Bogdanova,,Handball
Svilen Rusinov,,Boxer
Tatsuyoshi Ishihara,,Short track speed skater
Tatyana Dzhandzhgava,Soviet Union,Handball
Teresa Edwards,Georgia,Basketball
Eyüp Can (boxer),Turkey,Turkish boxer
Darren Chiacchia,United States,Olympic medalist in equestrian
David Giles (sailor),Australia,Australian sailor
Monique Knol,Netherlands,Dutch racing cyclist
Moses Ugbusien,Nigeria,Nigerian sprinter
Bonnie Blair,United States,Speed skater
Bruce Kendall,,Sailor
Bruno Dreossi,,Canoe racer
Vladimir Smirnov (skier),Soviet Union,Cross-country skier
Vreni Schneider,Switzerland,ski racer from Switzerland
Jennifer Holliday (softball),,Softball player
Andriy Kalashnykov,,Olympic wrestler
Li Jinhe,,Weightlifter
Liane Sato,United States,Volleyball
Lionel Laurent,France,French biathlete
Fabio Vullo,,Volleyball
Frank Richter (rower),,Rower
Frank Rutherford,,Athletics (sport) competitor
Martine Ohr,,Field hockey
Max Morinière,France,French athlete
Maxi Gnauck,Germany,Gymnast
Maya Usova,Soviet Union,Russian ice dancer
Neil Eckersley,United Kingdom,Judoka
Norbert Dobeleit,Germany,German sprinter
Herman Horn Johannessen,,Sailor
Hilde Gjermundshaug Pedersen,,Cross-country skier
Chris Sande,,Boxer
Christian Henn,Germany,German racing cyclist
Christine Cicot,,Judoka
Christine Gosse,Germany,Rower
Agnieszka Czopek,,Swimmer
Cerstin Petersmann,,Rower
Wendy Wyland,United States,American acrobatic diver
Clinio Freitas,Brazil,Brazilian sailor
Daniel Colla,,Volleyball
John Pescatore,,Rower
Josefa Idem,Germany,Canoe racer
Kelvin Graham,,Canoe racer
Kim Gallagher,United States,Athletics (sport) competitor
Kim Oden,United States,Volleyball
Éric Srecki,France,Fencer
Éva Erdős,Hungary,Handball
Šarūnas Marčiulionis,Soviet Union,Basketball
Žarko Petrović,,Volleyball
Iryna Yatchenko,Belarus,Belarusian discus thrower
Erik Hämäläinen,Finland,Ice Hockey
Erzsébet Kocsis,Hungary,Handball
Esa Keskinen,Finland,Ice Hockey
Esa Tikkanen,Finland,Ice Hockey
Tetiana Ustiuzhanina,,Rower
Tetyana Horb,Soviet Union,Handball
Theo Meijer,,Judoka
Tom Ponting,,Swimmer
Maciej Łasicki,,Rower
Gwen Torrence,United States,Athletics (sport) competitor
Wladimir Reznitschenko,Kazakhstan,Fencer
Günther Huber,,Bobsledder
Gennadiy Prigoda,Soviet Union,Swimmer
Patrik Sjöberg,,Athletics (sport) competitor
Peter Eriksson (ice hockey),Sweden,Ice Hockey
Diána Igaly,,Sport shooter
Dominik Hašek,Czechoslovakia,NHL goaltender
Donat Acklin,,Bobsledder
Dorien de Vries,Netherlands,Olympic sailor
Doug Burden,United States,Olympic rower
Roland Baar,,Rower
Romallis Ellis,United States,American boxer
Ross MacDonald,,Sailor
Michele Timms,Australia,Basketball
Mike Gebhardt,United States,Sailor
Mikko Mäkelä,Finland,Ice Hockey
Milan Janša,,Rower
Trine Haltvik,,Handball
Václav Korunka,,Cross-country skier
Sergey Tarasov,Russia,Russian biathlete
Shinichi Sato,Japan,Baseball player
Silke Hörner,,Swimmer
Stefan Pfeiffer,Germany,Swimmer
Steffen Bogs,Germany,Rower
Steffen Zühlke,Germany,Rower
Steven Hallard,,Archer
Hansjörg Aschenwald,Austria,Austrian Nordic combined skier
He Yingqiang,,Weightlifter
Klaus Sulzenbacher,Austria,Austrian Nordic combined skier
Kumi Nakada,,Volleyball
Larisa Lazutina,,Cross-country skier
Lars Hinneburg,,Swimmer
Marc Delissen,,Field hockey
Marcel Gery,Canada,Swimmer
Marcelo Ferreira,,Sailor
Mario Hoyer,,Bobsledder
James Tomkins (rower),Australia,Australian Rower
Jarmo Myllys,Finland,Ice Hockey
Jasna Šekarić,,Sport shooter
Dragan Stojković,Serbia,Serbian footballer
Drahomír Kadlec,Czechoslovakia,Ice Hockey
Anikó Meksz,Hungary,Handball
Anne Meygret,,Fencer
Annemarie Verstappen,,Swimmer
Arūnas Visockas,,Basketball
Ole Christian Eidhammer,Norway,Norwegian ski jumper
Olga Nazarova,,Athletics (sport) competitor
Olivier Boivin,,Canoe racer
Ralf Lübke,Germany,German sprinter
Petra Schersing,Germany,German sprinter
Phylis Smith,United Kingdom,British athlete
Pierpaolo Ferrazzi,Italy,Canoe racer
Róbert Isaszegi,Hungary,Boxer
Rıfat Yıldız,Germany,German sport wrestler
Aldair,Brazil,footballer
Alejandro Diz,,Volleyball
Alessandro Lambruschini,Italy,Italian long-distance runner
Rita Kőbán,,Canoe racer
Roberta Brunet,Italy,Athletics (sport) competitor
Roberto Moya,,Athletics (sport) competitor
Tammy Liley,United States,Volleyball
Terje Langli,,Cross-country skier
Daniel Sangouma,France,French athlete
Daniela Costian,Australia,Australian discus thrower
David Robinson (basketball),Uruguay,Basketball
Mitar Mrkela,Yugoslavia,Serbian footballer
Mitch Richmond,Uruguay,Basketball
Mohammed Achik,,Boxer
Namjilyn Bayarsaikhan,,Boxer
Natalya Pomoshchnikova-Voronova,,Athletics (sport) competitor
Brian Nielsen (boxer),Denmark,Boxer
Brita Baldus,,Diver
Bruno Marie-Rose,France,French athlete
Veronica Cochelea,,Rower
Virginia Lee,Canada,Rower
Jeff Grayer,United States,Basketball
Jeffrey McLaughlin (rower),United States,Olympic medalist in rowing
Jennifer Stoute,United Kingdom,British athlete
Jens-Peter Herold,Germany,German middle distance runner
Jens Müller (luger),Germany,German luger
Joanne Thompson,,Field hockey
Ali Kayalı,,Olympic wrestler
Allar Levandi,Estonia,Estonian Nordic combined skier
Ana Ida Alvares,,Volleyball
Andrea Gardini,,Volleyball
Andreas Stähle,,Olympic canoeist
Andrei Xepkin,,Handball
Andrew Murtha,,Short track speed skater
Andrey Shuvalov,Soviet Union,Fencer
Andy Jameson,,Swimmer
Leo Gudas,,Ice Hockey
Linda Medalen,,Association football player
Ferenc Csipes,,Canoe racer
Franck Piccard,Alps,Alpine skier
Mary Wayte,United States,All-American college swimmer international swimmer Olympic gold medalist sports broadcaster
Matjaž Debelak,,Ski jumper
Matt Biondi,United States,American swimmer Olympic gold medalist former world record-holder
Melita Ruhn,Romania,Gymnast
Neil Cochran,United Kingdom,Swimmer
Nelson Carmichael,,Freestyle skier
Nina Gavrilyuk,,Cross-country skier
Norie Hiro,,Volleyball
Hervé Flandin,France,French biathlete
Ibrahim Bilali,,Boxer
Clarence Knickman,United States,American racing cyclist
Claudio Zulianello,Argentina,Volleyball
Sabine Braun,Germany,German heptathlete
Sachiko Otani,,Volleyball
Sally McDermid,,Softball player
Adam Krzesiński,Poland,Fencer
Caren Kemner,United States,Volleyball
Conny van Bentum,Netherlands,Swimmer
Courtenay Becker-Dey,United States,Sailor
Curt Harnett,Canada,Canadian racing cyclist
Dan Majerle,United States,Basketball
Jon Inge Kjørum,Norway,Norwegian ski jumper
Karl-Heinz Riedle,Germany,German footballer
Katalin Szilágyi,Hungary,Handball
Kathleen Heddle,United States,Rower
Keiko Miyajima,,Volleyball
Kerri Pottharst,,Volleyball
Kim Cooper (softball),,Softball player
Ingo Steuer,Germany,German pair skater and coach
Irene Eijs,,Rower
Iztok Puc,Slovenia,Handball
Jörg Ahmann,Germany,Volleyball
Jacques Brinkman,,Field hockey
Emese Hunyady,,Speed skater
Enrique Míguez,,Canoe racer
Eric Sato,United States,Volleyball
Eszter Mátéfi,Romania,Handball
Thomas Häßler,Germany,German footballer
Tina Svensson,,Association football player
Gunda Niemann-Stirnemann,Germany,Speed skater
Hans-Jörg Bliesener,,Canoe racer
Wu Jiani,China,Olympic artistic gymnast
Yuko Arimori,Japan,Japanese long-distance runner
Zhou Xiuhua,China,Chinese rower
Zita-Eva Funkenhauser,Romania,Fencer
Zsolt Érsek,Hungary,Fencer
Günther Csar,Austria,Austrian Nordic combined skier
Gaël Monthurel,,Handball
Gary Neiwand,Australia,Australian racing cyclist
Paul Lewis (field hockey),,Field hockey
Delphyne Heymann,France,French biathlete
Denis Lathoud,,Handball
Dennis Mitchell,United States,American college track and field athlete international track and field athlete Olympic gold medalist
Diana Paliiska,,Canoe racer
Dmitry Bilozerchev,,Gymnast
Rodney Smith (wrestler),United States,Olympic wrestler
Roger Black,United Kingdom,British sprinter
Michelle MacPherson,,Swimmer
Mika Nieminen,Finland,Ice Hockey
Trine Hattestad,Norway,Norwegian javelin thrower
Véronique Claudel,France,French biathlete
Vadim Yaroshchuk,Soviet Union,Soviet swimmer
Sergey Kostarev,Soviet Union,Fencer
Sharon Rendle,United Kingdom,Judoka
Stéphan Caron,France,French swimmer
Stéphane Traineau,,Judoka
Stefan Edberg,Sweden,Swedish tennis player
He Yanwen,,Rower
Helen Morgan (field hockey),,Field hockey
Laurent Munier,,Handball
Marco Bracci,Italy,Volleyball
Marina Klimova,Russia,Figure skater
Jan Einar Thorsen,Alps,Alpine skier
Jaume Fort,,Handball
Javier Frana,Argentina,Argentinian tennis player
Javier García (athlete),,Athletics (sport) competitor
Javier Weber,,Volleyball
Joel Sánchez (athlete),Mexico,Mexican racewalker
Kamil Kašťák,Czechoslovakia,Ice Hockey
Anna Szántó,Hungary,Handball
Anna Wood (kayaker),,Australian-Dutch canoeist
Anne Ottenbrite,Canada,Swimmer
Annette Hohn,,Rower
Aranka Binder,,Sport shooter
Olaf Janßen,Germany,German footballer
Oleksandr Bagach,Ukraine,Athletics (sport) competitor
Oscar García (fencer),Cuba,Fencer
Pamela Rai,Canada,Canadian swimmer
Paolo Tofoli,,Volleyball
Radek Ťoupal,,Ice Hockey
Radim Nyč,,Cross-country skier
Reidun Seth,,Association football player
Peter Nordell,United States,Olympic medalist in rowing
Petr Barna,Czech Republic,Czech figure skater
Stine Lise Hattestad,,Freestyle skier
Sture Sivertsen,,Cross-country skier
Susan Auch,,Speed skater
Susan Fraser,,Field hockey
Susan Lee,,Rower
Suzie McConnell-Serio,United States,Basketball
Sven Rothenberger,,Equestrian
Taco van den Honert,,Field hockey
Tadanori Koshino,,Judoka
Tatyana Sadovskaya,Soviet Union,Fencer
Ted Patton,United States,Olympic medalists in rowing
Daniela Neunast,Germany,Rower
Danny Everett,United States,Athletics (sport) competitor
Danny Manning,United States,Basketball
David Berkoff,United States,American swimmer Olympic gold medalist former world record-holder
Dejan Brđović,,Volleyball
Georgiy Tsybulnikov,,Canoe racer
Gilles Quénéhervé,France,French sprinter
Giovanni Calabrese,,Rower
Monika Weber-Koszto,Romania,Fencer
Natalya Isakova,,Short track speed skater
Natalya Morskova,Soviet Union,Handball
Bob Samuelson,United States,Volleyball
Borislava Ivanova,,Canoe racer
Brett Hollister,,Rower
Bruno Carabetta,,Judoka
Veronika Stallmaier,Alps,Alpine skier
Vladimir Andreyev (race walker),,Athletics (sport) competitor
Vladimir Dratchev,Russia,Russian biathlete
Jens Bojsen-Møller,,Sailor
Alvaro Načinović,Croatia,Handball
Andrzej Głąb,,Olympic wrestler
Lee Sang-Ki,,Fencer
Leo Visser,Netherlands,Speed skater
Lisa Bayliss,,Field hockey
Lorenz Schindelholz,,Bobsledder
Fehaid Al-Deehani,Kuwait,Sport shooter
Floris Jan Bovelander,,Field hockey
Frédéric Volle,,Handball
Martin Ndongo-Ebanga,,Boxer
Nelson Tapia,Chile,Chilean footballer
Hersey Hawkins,United States,Basketball
Igor Kravchuk,Soviet Union,Ice Hockey
Sally Gunnell,England,British athlete
Samson Kitur,,Athletics (sport) competitor
Sandra Schumacher,Germany,German racing cyclist
Adriana Samuel,,Volleyball
Aitor Etxaburu,Spain,Handball
Cornelia Sirch,Germany,Swimmer
Dainis Ozols,Latvia,Latvian racing cyclist
John Regis (athlete),England,British sprint athlete
Jorge Aguilera,,Athletics (sport) competitor
Karen Percy,Alps,Alpine skier
Kipkemboi Kimeli,,Athletics (sport) competitor
Inha Babakova,Ukraine,Ukrainian high jumper
Iván Zamorano,Chile,Chilean footballer
Jacek Streich,,Rower
Esteban de Palma,,Volleyball
Theresa Luke,United States,Rower
Thierry Dusserre,France,French biathlete
Timofey Skryabin,Soviet Union,Boxer
Magdalena Forsberg,,swedish biathlete
Grigore Obreja,,Canoe racer
Grigoriy Yegorov,Kazakhstan,Kazakhstani pole vaulter
Wojciech Bartnik,Poland,Polish boxer
Wolfgang Perner,Austria,Austrian biathlete
Yao Fen,China,Chinese badminton player
Yevgeni Aleinikov,,Sport shooter
Yuichi Akasaka,,Speed skater
Yuliya Vlasova,,Short track speed skater
Zheng Haixia,China,Basketball
Zhou Qiurui,China,Chinese gymnast
Gabriele Mehl,,Rower
Gary Anderson (cyclist),Denmark,New Zealand racing cyclist
Paul Accola,Alps,Alpine skier
Paul Kingsman,New Zealand,Swimmer
Pavel Muslimov,Russia,Russian biathlete
Diane O'Grady,,Rower
Dmitriy Shevchenko (fencer),Russia,Fencer
Dmitry Gorshkov,,Water polo player
Doug Gjertsen,United States,American swimmer Olympic gold medalist former world record-holder
Roxana Dumitrescu,Romania,Fencer
Ryszard Sobczak,Poland,Fencer
Michael York (field hockey),Australia,Field hockey
Michel Andrieux,,Rower
Mikhail Botvinov,,Cross-country skier
Tomasz Tomiak,Poland,Olympic Rower
Toomas Tõniste,Soviet Union,Sailor and politician
Toshinobu Kawai,,Short track speed skater
Udo Quellmalz,,Judoka
Ulf Hielscher,Germany,Bobsledder
Ulf Sandström (ice hockey),Sweden,Ice Hockey
Uwe Daßler,Germany,Swimmer
Sean Olsson,,Bobsledder
Sergey Tchepikov,Russia,Russian biathlete
Slobodan Kovač,,Volleyball
Stefan Krauße,Germany,Luger
Steffen Zesner,Germany,German swimmer
Stephan Freigang,,Athletics (sport) competitor
Steve Locher,Alps,Alpine skier
Koichi Oshima,Japan,Baseball player
Kristen Skjeldal,,Cross-country skier
Lachlan Dreher,,Field hockey
Ladislav Lubina,Czechoslovakia,Ice Hockey
Laima Zilporytė,Soviet Union,Soviet cyclists
Lars Kleppich,,Sailor
Manuela Maleeva,Bulgaria,Bulgarian tennis player
Marianne Ihalainen,,Ice Hockey
Marius Gherman,,Gymnast
Marko Palo,Finland,Ice Hockey
Jane Sixsmith,,Field hockey
Janet Cobbs,United States,Volleyball
Dumitru Răducanu,,Rower
Edgar Itt,,Athletics (sport) competitor
Elaina Oden,United States,Volleyball
Joe Greene (athlete),,Athletics (sport) competitor
Joel Isasi,,Athletics (sport) competitor
Juan Cuminetti,,Volleyball
Juan Miguel Rodríguez,,Sport shooter
Attila Ábrahám,,Canoe racer
Barbara Kendall,New Zealand,Sailor
Bart Veldkamp,Netherlands,speed skater
Beáta Hoffmann,Hungary,Handball
Beate Koch,Germany,German javelin thrower
Beatrix Tóth,Hungary,Handball
Angel Martino,United States,American swimmer Olympic gold medalist former world record-holder
Anita Moen,,Cross-country skier
Annemieke Fokke,,Field hockey
Anthony Nesty,Trinidad,All-American college swimmer Surinamese international swimmer Olympic gold medalist
Oldřich Svoboda,,Ice Hockey
Olena Sadovnycha,,Archer
Reka Zsofia Lazăr-Szabo,Romania,Fencer
Aleksandar Varbanov,,Weightlifter
Robert Leroux,Morocco,Fencer
Susanne Rosenqvist,,Canoe racer
Tõnu Tõniste,Soviet Union,Sailor
Tammy Miller,,Field hockey
Dara Torres,United States,American swimmer Olympic gold medalist sports broadcaster swimsuit modelj
Debi Thomas,United States,Figure skater
Gerard Kemkers,Netherlands,Speed skater
Gilles Marguet,France,French biathlete
Bengt Zikarsky,Germany,German swimmer
Birte Siech,,Rower
Björn Zikarsky,Germany,German swimmer
Bruno Mingeon,France,French bobsledder
Valery Zakharevich,Russia,Russian fencer
Vasiliy Kaptyukh,Belarus,Belarusian discus thrower
Veronica Necula,,Rower
Vickie Orr,United States,Basketball
Vicky Bullett,,Basketball
Vyacheslav Lykho,,Athletics (sport) competitor
Jeff Pfaendtner,United States,Olympic medalists in rowing
Li Deliang,China,Diver
Lori Endicott,United States,Volleyball
Florentine Steenberghe,,Field hockey
Martin Marinov,,Canoe racer
Max Robert,France,French bobsledder
Max Sciandri,United Kingdom,Italian-English racing cyclist
Nick Gillingham,,Swimmer
Nicolaie Taga,,Rower
Nikolay Bukhalov,,Canoe racer
Hermawan Susanto,,Badminton player
Herta Anitas,Romania,Olympic rower of Romania
Hirotaka Okada,,Judoka
Hollis Conway,,Athletics (sport) competitor
Ian Rowling,,Canoe racer
Igor Polyansky,,Swimmer
Imre Pulai,,Canoeist and luger
Christian Miniussi,Argentina,Tennis player
Christiane Harzendorf,,Rower
Clarissa Davis,,Basketball
Sandra Douglas,,Athletics (sport) competitor
Carlos Briceno,United States,Volleyball
Carlos Pedroso,,Fencer
William Carlucci,,Rower
William Mutwol,,Athletics (sport) competitor
Willie Anderson (basketball),United States,Basketball
Kenneth Gould,United States,Boxer
Éric Quintin,,Handball
Éva Dónusz,,Canoe racer
Željko Tanasković,,Volleyball
Ingela Ericsson,,Canoe racer
Irina Khudoroshkina,,Athletics (sport) competitor
Irina Privalova,Soviet Union,Athletics (sport) competitor
Izabela Dylewska,Poland,Polish canoeist
J. R. Reid,South Africa,Basketball
Emanuela Pierantozzi,,Judoka
Erik Hochstein,,Swimmer
Espen Stokkeland,,Sailor
Luca Sacchi,Italy,Swimmer
Ma Wenge,China,Table tennis player
Mandy Nicholson,United Kingdom,Field hockey
Gyöngyi Szalay-Horváth,Hungary,Fencer
Xavier Rohart,,Sailor
Yelena Välbe,,Cross-country skier
Yoko Sakaue,,Judoka
Yukinori Miyabe,,Speed skater
Yuliya Garayeva,Russia,Fencer
Zhou Ping,China,Chinese gymnast
Patricia Girard,France,French athlete
Patricia Tarabini,Argentina,Argentine tennis player
Dmitri Sergeyev (judoka),,Judoka
Doina Ignat,,Rower
Doris Fitschen,Germany,Association football player
Michał Cieślak,,Rower
Michael Sandstød,Denmark,Racing cyclist
Tore Torvbråten,,Curler
Sergei Martynov (sport shooter),,Sport shooter
Sergio López Miró,Spain,Swimmer
Simone Osygus,Germany,Swimmer
Stacey Augmon,United States,Basketball
Stefan Botev,,Weightlifter
Heather McDermid,Canada,Rower
Heidi Rakels,,Judoka
Helle Jespersen,,Sailor
Klaus Ofner,Austria,Austrian Nordic combined skier
Lavinia Agache,Romania,Romanian gymnast
María Luisa Calle,Colombia,Colombian racing cyclist
Mark Crear,United States,American hurdler
Mark Lenzi,United States,Diver
Mark Tewksbury,Canada,Swimmer
Markus Schmidt (luger),,Luger
Marnie McBean,,Rower
Jan Dydak,Poland,Polish boxer
Jan Thoresen,,Curler
Jana Novotná,Czechoslovakia,Czech tennis player
Jane Kerr,Canada,All-American college swimmer Canadian international swimmer Olympic bronze medalist
Janeene Vickers,,Track and Field Hurdler
Janne Ojanen,Finland,Ice Hockey
Jay Stacy,,Field hockey
Jean-Christophe Rolland,,Rower
Judith Zeidler,Germany,German rower
Julia Trotman,,Sailor
Artur Wojdat,Poland,Swimmer
Auguszta Mátyás,Hungary,Handball
Bart Brentjens,Netherlands,Dutch racing cyclist
Anikó Kántor,Hungary,Handball
Anja Fichtel,Germany,Fencer
Anne Briand,France,French biathlete
Annegret Strauch,,Rower
Anthon Grimsmo,,Curler
Antje Frank,,Rower
Antonio Rossi,Italy,Italian canoeist
Arawat Sabejew,Kazakhstan,Olympic wrestler
Oleksandr Krykun,,Athletics (sport) competitor
Oleksandr Marchenko,Ukraine,Rower
Paige Zemina,United States,American swimmer Olympic bronze medalist
Rachael Sporn,Seychelles,Basketball
Rashid Sidek,Malaysia,Malaysian badminton player
Ray Downey,,Boxer
René Hannemann,Germany,Bobsledder
Phajol Moolsan,Thailand,Boxer
Pippa Funnell,Cameroon,Equestrian
Qiao Hong,China,Table tennis player
Albert Pakeyev,Russia,Boxer
Alberto Urdiales,Spain,Handball
Richard Nizielski,,Short track speed skater
Richie Woodhall,England,British boxer
Roberto Di Donna,,Sport shooter
Sun Man,,Badminton player
Susi Erdmann,,Bobsledder and luger
Talant Duyshebaev,Soviet Union,Handball
Tara Cross-Battle,United States,Volleyball
Teee Sanders,United States,Volleyball
Teppo Numminen,Finland,Ice Hockey
Terry Brands,United States,Olympic wrestler
Darius Dimavičius,Lithuania,Basketball
Darius Lukminas,,Basketball
Davis Kamoga,,Athletics (sport) competitor
Gheorghe Andriev,,Canoe racer
Giovanni De Benedictis,Italy,Athletics (sport) competitor
Girolamo Giovinazzo,United States,Judoka
Mitzi Kremer,United States,American swimmer Olympic bronze medalist
Bertrand Damaisin,,Judoka
Bimbo Coles,United States,Basketball
Birutė Šakickienė,,Rower
Blagovest Stoyanov,,Canoe racer
Brahim Lahlafi,,Athletics (sport) competitor
Vichairachanon Khadpo,Thailand,Boxer
Victor Feddersen,,Rower
Vladimir Malakhov (ice hockey),Soviet Union,Ice Hockey
Jean-Philippe Gatien,France,Table tennis player
Jesús Mena,,Diver
Anders Holmertz,Sweden,Swimmer
Andrea Nugent,Canada,Swimmer
Andreas Hajek,,Rower
Andrew Trim,Australia,Canoe racer
Leila Meskhi,Georgia,Tennis player
Falilat Ogunkoya,Nigeria,Nigerian sprinter
Florence Masnada,Alps,Alpine skier
Florian Schwarthoff,Germany,German hurdler
Mary Lou Retton,South Africa,Former gymnast
Mary Onyali-Omagbemi,Nigeria,Nigerian sprinter
Masahiko Harada,Japan,Japanese ski jumper
Masanori Sugiura,,Baseball player
Maurits Crucq,Netherlands,Field hockey
Mehmet Akif Pirim,,Olympic wrestler
Melvin Stewart,United States,American swimmer Olympic gold medalist former world record-holder
Nelson Loyola,,Fencer
Nick Becker,United States,Volleyball
Niklaus Schurtenberger,Switzerland,Equestrian
Noemi Lung,Romania,Swimmer
Hu Yadong,,Olympic rower
Iñaki Urdangarin Duke of Palma de Mallorca,Spain,Handball
Chris Boardman,England,English racing cyclist
Claudia Grigorescu,Romania,Fencer
Samuel Barathay,,Rower
Sandie Richards,,Athletics (sport) competitor
Sandy Brondello,Australia,Basketball
Carolyn Crudgington,Australia,Softball player
Carsten Embach,Germany,Bobsledder
Catherine Plewinski,France,French swimmer
Cezary Siess,Poland,Polish fencer
Daedra Charles,United States,Basketball
Kay Bluhm,,Canoe racer
Kento Sugiyama,,Baseball player
Kim Byung-Joo,,Judoka
Éric Le Chanony,France,French bobsledder
Ingrid Lempereur,Belgium,swimmer
Jörg Roßkopf,Germany,Table tennis player
Jackson Richardson,,Handball
Tetyana Tereshchuk-Antipova,,Athletics (sport) competitor
Thorsten Streppelhoff,Germany,Olympic rower
Luis Alberto Pérez-Rionda,,Athletics (sport) competitor
Lyudmila Gudz,,Handball
Lyudmila Prokasheva,,Speed skater
Mabel Mosquera,,Weightlifter
Halvard Hanevold,Norway,Norwegian biathlete
Hanna Balabanova,,Canoe racer
Ximena Restrepo,,Athletics (sport) competitor
Yaroslava Pavlovich,,Rower
Yelena Shushunova,Soviet Union,Gymnast
Yoko Zetterlund,United States,Volleyball
Zhou Shouying,China,Chinese Rower
Frederick Onyancha,,Athletics (sport) competitor
Fredrik Lööf,Sweden,Swedish professional sailor
Gabriella Paruzzi,Italy,Cross-country skier
Patrick Chila,France,Table tennis player
Patrik Augusta,Czechoslovakia,Ice Hockey
Paul Attwood,,Bobsledder
Pavel Kolobkov,Russia,Fencer
Peta Edebone,,Softball player
Dieter Thoma,,Ski jumper
Doug Sharp,United States,American bobsledder
Roel Velasco,,Boxer
Ronny Weller,,Weightlifter
Roxbert Martin,,Athletics (sport) competitor
Michael Bates (American football),Seychelles,American football and sprint athlete
Michael von Grünigen,Alps,Alpine skier
Michelle Freeman,Jamaica,college track and field athlete Jamaican international track and field athlete hurdler sprinter Olympic bronze medalist
Michelle Gibson,United States,Olympic medalist in equestrian
Michelle Smith,,Swimmer
Mikael Löfgren,Sweden,Swedish biathlete
Tonhi Terenzi,Italy,Fencer
Traian Cihărean,Romania,Olympic weightlifter
Tsutomu Kawasaki,,Short track speed skater
Uta Rohländer,Germany,German sprinter
Vadim Khamuttskikh,,Volleyball
Valentyna Tserbe-Nessina,,ukrainian biathlete
Valery Belenky,,Gymnast
Sergei Fedorov,Soviet Union,Ice Hockey
Shelley Sandie,,Basketball
Simona Păucă,Romania,Gymnast
Stéphane Stoecklin,,Handball
Stefan Horngacher,,Ski jumper
Stefania Belmondo,Italy,Former Italian skier
Steffi Graf,Germany,German tennis champion
Stephan Eberharter,Alps,Alpine skier
Stephen John Davies,,Field hockey
Steve Backley,England,British javelin thrower
Haylea Petrie,,Softball player
Hege Riise,,Association football player
Lázaro Reinoso,,Olympic wrestler
Lachlan Elmer,,Field hockey
Lee Jae-Hyuk,,Boxer
Marco Villa,Italy,Olympic cycling bronze
Mario González (Mexican boxer),,Boxer
Marit van Eupen,,Rower
Mark Heese,,Volleyball
Janeth Arcain,Brazil,Basketball
Janusz Hooker,Canada,Rower
Jaroslav Sakala,,Ski jumper
Edgar Grospiron,,Freestyle skier
Eduard Zenovka,Soviet Union,Soviet modern pentathlete
Eeke van Nes,Netherlands,Rower
Ekaterina Anikeeva,,Water polo player
Johanna Ikonen,,Ice Hockey
Jury Chechi,Italy,Gymnast; rings gold at 1996 Olympics
Jyri Kjäll,Finland,Boxer
Artur Partyka,,Athletics (sport) competitor
Axel Hager,Germany,Volleyball
Beatrice Utondu,Nigeria,Nigerian sprinter and long jumper
Beatrix Kökény,Hungary,Handball
Angelika Neuner,,Luger
Anke Möhring,Germany,Swimmer
Anne-Lise Bardet,France,Canoe racer
Ari Sulander,Finland,Ice Hockey
Olga Slyusareva,Ukraine,Russian racing cyclist
Rafael Guijosa,,Handball
Renata Mauer,Poland,Polish sport shooter
Peter Oppegard,,Figure skater
Petr Hrbek,Czechoslovakia,Ice Hockey
Petri Varis,Finland,Ice Hockey
Róbert Švehla,Czechoslovakia,Ice Hockey
Alessandro Bovo,,Water polo player
Richard Trautmann,,Judoka
Susan Williams (triathlete),,Triathlete
Svetlana Krivelyova,Russia,Russian shot putter
Takashi Miwa,Japan,Baseball player
Tang Jiuhong,,Badminton player
David Collins (rower),United States,Olympic medalist in rowing
David Douillet,,Judoka
Gerda Weissensteiner,Italy,Bobsledder and luger
Gintaras Einikis,,Basketball
Mohamed Suleiman,,Athletics (sport) competitor
Munkhbayar Dorjsuren,Mongolia,Sport shooter
Myriam Bédard,Canada,Canadian biathlete
Nancy Kerrigan,United States,American figure skater
Natalia Valeeva,,Archer
Nataliya Rusnachenko,Soviet Union,Handball
Nataliya Stasyuk,,Rower
Bryan Ivie,United States,Volleyball
Bryan Steel,United Kingdom,English racing cyclist
Vanderlei de Lima,,Athletics competitor
Vasily Kudinov,,Handball
Viktor Petrenko,United States,Ukrainian figure skater
Viktoriya Troytskaya,,Short track speed skater
Vladimir Batez,,Volleyball
Jenny Gal,,Judoka
Jens Eriksen,Denmark,Badminton player
Jochen Lettmann,Germany,Canoe racer
Amiran Totikashvili,Soviet Union,Judoka
